[2025-08-09 12:02:32] [INFO    ] discord.client: logging in using static token
[2025-08-09 12:02:33] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'verification_level': 0, 'premium_tier': 0, 'vanity_url_code': None, 'embedded_activities': [], 'application_id': None, 'profile': None, 'explicit_content_filter': 0, 'owner_configured_content_level': 0, 'afk_channel_id': None, 'incidents_data': None, 'public_updates_channel_id': None, 'application_command_counts': {}, 'max_members': 25000000, 'member_count': 2, 'max_stage_video_channel_users': 50, 'id': '1403540647343947887', 'members': [{'user': {'username': 'GAG Bot', 'public_flags': 0, 'primary_guild': None, 'id': '1403539151218933901', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '1885', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1403540752746942476'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-09T00:49:52.020677+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'name': 'Doo', 'max_video_channel_users': 25, 'region': 'deprecated', 'activity_instances': [], 'hub_type': None, 'threads': [], 'icon': None, 'premium_progress_bar_enabled': False, 'splash': None, 'afk_timeout': 300, 'system_channel_flags': 0, 'description': None, 'roles': [{'version': 1754700566940, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1403540647343947887', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1754700591997, 'unicode_emoji': None, 'tags': {'bot_id': '1403539151218933901'}, 'position': 1, 'permissions': '2048', 'name': 'GAG Bot', 'mentionable': False, 'managed': True, 'id': '1403540752746942476', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'stickers': [], 'safety_alerts_channel_id': None, 'mfa_level': 0, 'premium_features': None, 'latest_onboarding_question_id': None, 'channels': [{'version': 1754700566942, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1403540647343947888', 'flags': 0}, {'version': 1754700566944, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1403540647343947889', 'flags': 0}, {'version': 1754700566949, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1403540647343947888', 'name': 'general', 'last_message_id': '1403603986027778160', 'id': '1403540647343947890', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1754700566957, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1403540647343947889', 'name': 'General', 'last_message_id': None, 'id': '1403540647771771030', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'inventory_settings': None, 'lazy': True, 'stage_instances': [], 'default_message_notifications': 0, 'nsfw_level': 0, 'large': False, 'discovery_splash': None, 'owner_id': '1311884526590496770', 'presences': [], 'rules_channel_id': None, 'preferred_locale': 'en-US', 'premium_subscription_count': 0, 'features': [], 'banner': None, 'joined_at': '2025-08-09T00:49:52.020677+00:00', 'soundboard_sounds': [], 'guild_scheduled_events': [], 'nsfw': False, 'voice_states': [], 'system_channel_id': '1403540647343947890', 'version': 1754700566963, 'home_header': None, 'unavailable': False, 'emojis': [], 'moderator_reporting': None}}
[2025-08-09 12:02:33] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-09 12:02:33] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-08-09 12:02:35] [DEBUG   ] discord.client: Dispatching event ready
[2025-08-09 12:03:14] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 2.
[2025-08-09 12:03:14] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-09 12:03:55] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 2.
[2025-08-09 12:03:56] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-09 12:04:37] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 2.
[2025-08-09 12:04:37] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
